train_cycle,hits_discovered,acquisition_method,architecture,n_start,seed,dataset,enrichment,id
7,61,Similarity,gcn,16,2,ALDH1,1.2042727918427714,gcn 16 2 ALDH1
8,66,Similarity,gcn,16,2,ALDH1,1.3934034700558087,gcn 16 2 ALDH1
9,68,Similarity,gcn,16,2,ALDH1,1.6085727701185393,gcn 16 2 ALDH1
10,77,Similarity,gcn,16,2,ALDH1,2.228679242130899,gcn 16 2 ALDH1
11,89,Similarity,gcn,16,2,ALDH1,2.117111557354784,gcn 16 2 ALDH1
12,96,Similarity,gcn,16,2,ALDH1,2.2231613479084085,gcn 16 2 ALDH1
13,103,Similarity,gcn,16,2,ALDH1,2.290420001124583,gcn 16 2 ALDH1
14,113,Similarity,gcn,16,2,ALDH1,2.262251121574921,gcn 16 2 ALDH1
15,127,Similarity,gcn,16,2,ALDH1,2.318343793427543,gcn 16 2 ALDH1
0,1,Similarity,gcn,16,2,PKM2,0,gcn 16 2 PKM2
1,1,Similarity,gcn,16,2,PKM2,0.85067915990226,gcn 16 2 PKM2
2,1,Similarity,gcn,16,2,PKM2,0.7589483904710405,gcn 16 2 PKM2
3,2,Similarity,gcn,16,2,PKM2,0,gcn 16 2 PKM2
4,2,Similarity,gcn,16,2,PKM2,1.2486145840431284,gcn 16 2 PKM2
5,4,Similarity,gcn,16,2,PKM2,0,gcn 16 2 PKM2
6,4,Similarity,gcn,16,2,PKM2,1.590720415740852,gcn 16 2 PKM2
7,5,Similarity,gcn,16,2,PKM2,0.9861839207209449,gcn 16 2 PKM2
8,6,Similarity,gcn,16,2,PKM2,0.4608081302570741,gcn 16 2 PKM2
9,6,Similarity,gcn,16,2,PKM2,0.4324919199224708,gcn 16 2 PKM2
10,6,Similarity,gcn,16,2,PKM2,0.4074542533084413,gcn 16 2 PKM2
11,7,Similarity,gcn,16,2,PKM2,0,gcn 16 2 PKM2
12,7,Similarity,gcn,16,2,PKM2,0,gcn 16 2 PKM2
13,7,Similarity,gcn,16,2,PKM2,0.34716108026628323,gcn 16 2 PKM2
14,7,Similarity,gcn,16,2,PKM2,0.33084225107132426,gcn 16 2 PKM2
15,7,Similarity,gcn,16,2,PKM2,0.9479661760389271,gcn 16 2 PKM2
0,1,Similarity,gcn,16,2,VDR,0,gcn 16 2 VDR
1,2,Similarity,gcn,16,2,VDR,-0.8416293953174281,gcn 16 2 VDR
2,4,Similarity,gcn,16,2,VDR,-2.237982835291226,gcn 16 2 VDR
3,6,Similarity,gcn,16,2,VDR,-2.009627075249889,gcn 16 2 VDR
4,7,Similarity,gcn,16,2,VDR,-1.2157051775067442,gcn 16 2 VDR
5,9,Similarity,gcn,16,2,VDR,-2.225366000304309,gcn 16 2 VDR
6,10,Similarity,gcn,16,2,VDR,-1.5386362608110336,gcn 16 2 VDR
7,10,Similarity,gcn,16,2,VDR,-0.4757147632397736,gcn 16 2 VDR
8,11,Similarity,gcn,16,2,VDR,2.217863952548231,gcn 16 2 VDR
9,11,Similarity,gcn,16,2,VDR,2.077496566171452,gcn 16 2 VDR
10,12,Similarity,gcn,16,2,VDR,1.9538391631054957,gcn 16 2 VDR
11,13,Similarity,gcn,16,2,VDR,1.4752604166474539,gcn 16 2 VDR
