train_cycle,seed,acquisition_method,architecture,bias,metric,value
9,2,Random,mlp,random,MolWt,289.3310000000001
9,2,Random,mlp,random,MolWt,350.3740000000001
9,2,Random,mlp,random,MolWt,394.5210000000002
9,2,Random,mlp,random,MolWt,424.9560000000002
9,2,Random,mlp,random,MolWt,285.377
9,2,Random,mlp,random,MolWt,466.46800000000025
9,2,Random,mlp,random,MolWt,386.93000000000006
9,2,Random,mlp,random,MolWt,249.291
9,2,Random,mlp,random,MolWt,396.5150000000001
9,2,Random,mlp,random,MolWt,297.19800000000004
9,2,Random,mlp,random,MolWt,345.25000000000017
9,2,Random,mlp,random,MolWt,339.351
9,2,Random,mlp,random,MolWt,407.4700000000003
9,2,Random,mlp,random,MolWt,337.41900000000004
9,2,Random,mlp,random,MolWt,308.337
9,2,Random,mlp,random,MolWt,180.206
9,2,Random,mlp,random,MolWt,361.3760000000001
9,2,Random,mlp,random,MolWt,387.4610000000001
9,2,Random,mlp,random,MolWt,483.95500000000027
9,2,Random,mlp,random,MolWt,473.5510000000003
9,2,Random,mlp,random,MolWt,445.475
9,2,Random,mlp,random,MolWt,374.4210000000001
9,2,Random,mlp,random,MolWt,339.1540000000001
9,2,Random,mlp,random,MolWt,311.77200000000005
9,2,Random,mlp,random,MolWt,435.50500000000017
10,2,Random,mlp,random,MolWt,322.38800000000003
10,2,Random,mlp,random,MolWt,390.8660000000001
10,2,Random,mlp,random,MolWt,364.8160000000001
10,2,Random,mlp,random,MolWt,330.40800000000013
10,2,Random,mlp,random,MolWt,347.439
10,2,Random,mlp,random,MolWt,453.52300000000025
10,2,Random,mlp,random,MolWt,371.3920000000001
10,2,Random,mlp,random,MolWt,372.4100000000001
10,2,Random,mlp,random,MolWt,382.301
10,2,Random,mlp,random,MolWt,477.58300000000014
10,2,Random,mlp,random,MolWt,321.33400000000006
10,2,Random,mlp,random,MolWt,421.5410000000002
10,2,Random,mlp,random,MolWt,285.347
10,2,Random,mlp,random,MolWt,375.42
10,2,Random,mlp,random,MolWt,336.1890000000001
10,2,Random,mlp,random,MolWt,289.3310000000001
10,2,Random,mlp,random,MolWt,350.3740000000001
10,2,Random,mlp,random,MolWt,394.5210000000002
10,2,Random,mlp,random,MolWt,424.9560000000002
10,2,Random,mlp,random,MolWt,285.377
10,2,Random,mlp,random,MolWt,466.46800000000025
10,2,Random,mlp,random,MolWt,386.93000000000006
10,2,Random,mlp,random,MolWt,249.291
10,2,Random,mlp,random,MolWt,396.5150000000001
10,2,Random,mlp,random,MolWt,297.19800000000004
10,2,Random,mlp,random,MolWt,345.25000000000017
10,2,Random,mlp,random,MolWt,339.351
10,2,Random,mlp,random,MolWt,407.4700000000003
10,2,Random,mlp,random,MolWt,337.41900000000004
10,2,Random,mlp,random,MolWt,308.337
10,2,Random,mlp,random,MolWt,180.206
10,2,Random,mlp,random,MolWt,361.3760000000001
10,2,Random,mlp,random,MolWt,387.4610000000001
10,2,Random,mlp,random,MolWt,483.95500000000027
10,2,Random,mlp,random,MolWt,473.5510000000003
10,2,Random,mlp,random,MolWt,445.475
10,2,Random,mlp,random,MolWt,374.4210000000001
10,2,Random,mlp,random,MolWt,339.1540000000001
10,2,Random,mlp,random,MolWt,311.77200000000005
10,2,Random,mlp,random,MolWt,435.50500000000017
10,2,Random,mlp,random,MolWt,390.5160000000002
11,2,Random,mlp,random,MolWt,322.38800000000003
11,2,Random,mlp,random,MolWt,390.8660000000001
11,2,Random,mlp,random,MolWt,364.8160000000001
11,2,Random,mlp,random,MolWt,330.40800000000013
11,2,Random,mlp,random,MolWt,347.439
11,2,Random,mlp,random,MolWt,453.52300000000025
11,2,Random,mlp,random,MolWt,371.3920000000001
11,2,Random,mlp,random,MolWt,372.4100000000001
11,2,Random,mlp,random,MolWt,382.301
11,2,Random,mlp,random,MolWt,477.58300000000014
11,2,Random,mlp,random,MolWt,321.33400000000006
